Total batches: 225
Batch info (theta, phi, gamma, psi_deg, E1, E2):
Batch 1: theta=0.00, phi=0.00, gamma=0.272, psi_deg=112.0, E1=[0.005, 0.0, 0.0], E2=[-0.0005097032453685714, 0.0012628555146186676, 0.0]
Batch 2: theta=0.00, phi=25.00, gamma=0.494, psi_deg=141.4, E1=[0.00453153893518325, 0.0, 0.0], E2=[-0.001748472309000605, 0.0013975594452915751, 0.0]
Batch 3: theta=0.00, phi=50.00, gamma=0.802, psi_deg=49.1, E1=[0.003213938048432697, 0.0, 0.0], E2=[0.001688732971439191, 0.0019472365515089732, 0.0]
Batch 4: theta=0.00, phi=75.00, gamma=0.349, psi_deg=144.3, E1=[0.0012940952255126037, 0.0, 0.0], E2=[-0.00036674732750302085, 0.00026317580940185385, 0.0]
Batch 5: theta=0.00, phi=100.00, gamma=0.962, psi_deg=157.7, E1=[-0.0008682408883346515, -0.0, 0.0], E2=[0.0007728628415841003, 0.0003174805038423744, 0.0]
Batch 6: theta=0.00, phi=125.00, gamma=0.422, psi_deg=90.2, E1=[-0.0028678821817552306, -0.0, 0.0], E2=[3.783880080585732e-06, 0.0012103422989910447, 0.0]
Batch 7: theta=0.00, phi=150.00, gamma=0.715, psi_deg=128.3, E1=[-0.004330127018922193, -0.0, 0.0], E2=[0.0019185958505956314, 0.002430552698780415, 0.0]
Batch 8: theta=0.00, phi=175.00, gamma=0.433, psi_deg=101.0, E1=[-0.004980973490458728, -0.0, 0.0], E2=[0.0004123101169393849, 0.0021181290645024345, 0.0]
Batch 9: theta=0.00, phi=200.00, gamma=0.553, psi_deg=2.5, E1=[-0.004698463103929542, -0.0, -0.0], E2=[-0.00259476295940103, 0.00011230615846975363, 0.0]
Batch 10: theta=0.00, phi=225.00, gamma=0.796, psi_deg=158.9, E1=[-0.0035355339059327385, -0.0, -0.0], E2=[0.0026236581546272017, 0.001013679081562843, 0.0]
Batch 11: theta=0.00, phi=250.00, gamma=0.428, psi_deg=110.8, E1=[-0.0017101007166283428, -0.0, -0.0], E2=[0.0002598093723957255, 0.0006849859639771049, 0.0]
Batch 12: theta=0.00, phi=275.00, gamma=0.168, psi_deg=66.4, E1=[0.00043577871373828945, 0.0, -0.0], E2=[2.9296173714226643e-05, 6.701905210659973e-05, 0.0]
