element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
8.360000000000000000e+02,3.285072015089507858e+01,1.094516128519096583e+02,9.345892659154385740e+01,8.196209339723510290e-01,3.560755180020496857e-03,4.091903772035641179e-03,4.167204471395897017e-03
4.560000000000000000e+02,8.664928323222655138e+01,1.372939222183454433e+02,1.160117188583549250e+02,4.365476133316644747e-01,2.933864313247808338e-03,3.177829104810731779e-03,3.166089861889507650e-03
1.330000000000000000e+02,9.449003761968629078e+01,1.438370963224050456e+02,1.083287374889138164e+02,4.555306361598541742e-01,9.316815045688047739e-04,9.468896708109908683e-04,9.030522096271704395e-04
1.820000000000000000e+02,8.562764516337327336e+01,1.326373053565208124e+02,1.038823458544769238e+02,4.525279036247486508e-01,2.872446469157938047e-03,3.291177647652574530e-03,3.538722042429903562e-03
8.700000000000000000e+01,4.329580232236427406e+01,9.613703854253093084e+01,7.688406338759467928e+01,6.872846451127171408e-01,2.770152462155853635e-03,2.680724212288589699e-03,2.117629534455190820e-03
7.180000000000000000e+02,6.243138493863186511e+01,1.130915647448436232e+02,9.424769656107513072e+01,5.375216759104828324e-01,3.775175650968825691e-03,4.215783111040933250e-03,4.178485214321596940e-03
8.260000000000000000e+02,9.230851955418785337e+01,1.577323667341279076e+02,1.121546005675822499e+02,5.833362773247707800e-01,1.995765291631622970e-03,1.858712286898156702e-03,1.562186341249036103e-03
2.190000000000000000e+02,1.010070341206527189e+02,1.426912599613354757e+02,1.126407434630235684e+02,3.700634828850040692e-01,2.138578478537458711e-03,2.336093999275945868e-03,2.255280141035051825e-03
9.700000000000000000e+02,7.824441021272807006e+01,1.433011442278801155e+02,9.116783479959860870e+01,7.135930578822793358e-01,3.502354533904958062e-03,4.007566212795757310e-03,3.986658948758196701e-03
9.770000000000000000e+02,3.013987736825710329e+01,1.045590379071249032e+02,8.122333242783598450e+01,9.162288509276143023e-01,2.621609743957348856e-03,3.048733801693889744e-03,3.289544506540763476e-03
