epoch,loss,training_stress_relative_l2,learning_rate
1,0.5005587284211759,0.27709248661994934,0.0004
2,0.05695794508964927,nan,0.0004
3,0.04129870318704181,nan,0.0004
4,0.03751455826891793,nan,0.0004
5,0.03588733877296801,nan,0.0004
6,0.03426496422401181,nan,0.0004
7,0.0325111424619401,nan,0.0004
8,0.03064212334100847,nan,0.0004
9,0.0284468540576873,nan,0.0004
10,0.02606697753071785,nan,0.0004
11,0.02343388784814764,nan,0.0004
12,0.020454476690954633,nan,0.0004
13,0.017364036774745694,nan,0.0004
14,0.014601897413807886,nan,0.0004
15,0.012606060097890871,nan,0.0004
16,0.011366284038457606,nan,0.0004
17,0.010487723198753816,nan,0.0004
18,0.009649637879596816,nan,0.0004
19,0.008762916998454818,nan,0.0004
20,0.007879223260614607,0.08629739284515381,0.0004
21,0.007080112601181975,nan,0.0004
22,0.006411431512484948,nan,0.0004
23,0.005857250101312443,nan,0.0004
24,0.00538190538753514,nan,0.0004
25,0.004959588559965293,nan,0.0004
26,0.004592300789361751,nan,0.0004
27,0.004272689335738067,nan,0.0004
28,0.003988879793151109,nan,0.0004
29,0.003737775065625707,nan,0.0004
30,0.0035048263337187193,nan,0.0004
31,0.003281276836922323,nan,0.0004
32,0.0030755856747014653,nan,0.0004
33,0.002878343005216232,nan,0.0004
34,0.0026789951845313663,nan,0.0004
35,0.0024918351339659204,nan,0.0004
36,0.002313783030129141,nan,0.0004
37,0.0021377149839989012,nan,0.0004
38,0.0019744833267328365,nan,0.0004
39,0.0018189704407834345,nan,0.0004
40,0.0016746052057930716,0.04003645479679108,0.0004
41,0.0015382871281838528,nan,0.0004
42,0.0014136092763187157,nan,0.0004
43,0.0012899467255920172,nan,0.0004
44,0.001175890353301333,nan,0.0004
45,0.0010698610847746884,nan,0.0004
46,0.0009712503502938758,nan,0.0004
47,0.000881418286115621,nan,0.0004
48,0.000800018250528309,nan,0.0004
49,0.0007292651247957514,nan,0.0004
50,0.0006693178050530454,nan,0.0004
51,0.0006158412197018388,nan,0.0004
52,0.0005710641228317938,nan,0.0004
53,0.0005339704134880945,nan,0.0004
54,0.0004988738736655149,nan,0.0004
55,0.00047128224051212547,nan,0.0004
56,0.0004447566235386249,nan,0.0004
57,0.000421893346356228,nan,0.0004
58,0.0004008911707421282,nan,0.0004
59,0.0003829021168510533,nan,0.0004
60,0.00036568843427597095,0.018913699313998222,0.0004
61,0.00035054479505763284,nan,0.0004
62,0.0003359528297247986,nan,0.0004
63,0.0003237411879968864,nan,0.0004
64,0.00031195206921202717,nan,0.0004
65,0.0003011002457545449,nan,0.0004
66,0.0002895978191022382,nan,0.0004
67,0.000279365228144107,nan,0.0004
68,0.00026962730151825344,nan,0.0004
