epoch,loss,energy_loss,stress_global_loss,stress_component_loss,training_energy_relative_l2,training_stress_relative_l2,learning_rate
1,0.7128900261697516,0.4537948660167362,0.377550637352211,0.6467021433966248,0.6540201304945981,0.5935408178792648,0.002
2,0.6362486096907061,0.4014302334241312,0.32764657104854955,0.6454624838250247,nan,nan,0.002
3,0.5551378358644101,0.34263461412300816,0.2749594337009139,0.6580654535911877,nan,nan,0.002
4,0.4750005883767319,0.27870234217881695,0.223626454908474,0.6917438619219877,nan,nan,0.002
5,0.40609949303993403,0.21525239846565147,0.180295296026732,0.7528962160969225,nan,nan,0.002
6,0.359064300255588,0.16086671183631812,0.1522708160468611,0.8338049594809958,nan,nan,0.002
7,0.33438001165470843,0.12395976274951757,0.13988115485722233,0.8993812282592207,nan,nan,0.002
8,0.3214361292800588,0.10500345398912764,0.13543953410273865,0.920401867998653,nan,nan,0.002
9,0.3113555387298869,0.0965552137703029,0.1326907225003818,0.9053835710257702,nan,nan,0.002
10,0.30175481316201874,0.09191632917671508,0.13001542382736084,0.8766405929593145,0.2997360916946413,0.35867322763408466,0.002
11,0.2924502481107804,0.08801646078940406,0.12740821231954705,0.8462837875070192,nan,nan,0.002
12,0.2834432703611394,0.08436549656073924,0.12488403465768652,0.8163617875841692,nan,nan,0.002
13,0.27452176979503223,0.08134484774893179,0.12233228605777001,0.7844345040608137,nan,nan,0.002
14,0.2659329322511826,0.0782592816498628,0.11988113690838675,0.7544362187109536,nan,nan,0.002
15,0.2575160120833122,0.07533398455050799,0.11746803678244941,0.7246739390693335,nan,nan,0.002
16,0.24933618759893209,0.07253060178222726,0.11514362101942013,0.6954614571598481,nan,nan,0.002
17,0.2413402429608045,0.07005384268680348,0.11285856679894095,0.6658364229018825,nan,nan,0.002
18,0.23364758026515364,0.06773027960072169,0.11058771991076556,0.6374889106702255,nan,nan,0.002
19,0.22620514218854507,0.06538995326215619,0.1084559978133634,0.6100938295118977,nan,nan,0.002
20,0.21898937813074645,0.06321342963052351,0.10634898132381435,0.5833600983044266,0.2491523577969829,0.3245306203633202,0.002
21,0.2121521000233935,0.061184272981118025,0.1043606081519538,0.557838704376707,nan,nan,0.002
22,0.20562314842718982,0.05919888467562319,0.10240613468215663,0.5339910593880105,nan,nan,0.002
23,0.1993139979749593,0.05741765331422108,0.10054681830934617,0.510184851718476,nan,nan,0.002
24,0.1933775319336721,0.05582722357068556,0.09869208346596686,0.48801043777769765,nan,nan,0.002
25,0.18758845939067606,0.05415947742304857,0.09693705131670038,0.4665887029766612,nan,nan,0.002
26,0.1821521227185931,0.05268549110462993,0.09519490883752248,0.44660587325793055,nan,nan,0.002
27,0.1769472688904615,0.05118774903212708,0.09351011640464284,0.4279442205042168,nan,nan,0.002
28,0.17190082627748848,0.04965155959116317,0.09192712472332325,0.40992837685605066,nan,nan,0.002
29,0.16714969567403168,0.04846691007126579,0.09023530753769063,0.3929746181378126,nan,nan,0.002
30,0.16248861005095913,0.04703210101815157,0.08861715083467953,0.37728777453122014,0.21526950821402285,0.2963240124878638,0.002
31,0.158000345294893,0.04574494492179454,0.08701337188956959,0.3620317665972829,nan,nan,0.002
32,0.15359755840480407,0.044234544817288814,0.08551691652878603,0.34770483482732145,nan,nan,0.002
33,0.14928988656651418,0.043067203433848164,0.0837898811544977,0.33383203568793246,nan,nan,0.002
34,0.14506219924805622,0.0417519113749515,0.08214943292494706,0.3206429257875516,nan,nan,0.002
35,0.140904782837041,0.04041335018317346,0.0805214610633689,0.3079524220940979,nan,nan,0.002
36,0.13677169843357911,0.03892059377015395,0.07896745468940673,0.2956731733132223,nan,nan,0.002
37,0.13271760825237094,0.03760051496597353,0.07728823557066022,0.2838818219295129,nan,nan,0.002
38,0.1286856900338651,0.03613167709988962,0.07570195976128949,0.27235622747893845,nan,nan,0.002
39,0.12469788885554157,0.034966323932256405,0.0738816252379792,0.26113597898195057,nan,nan,0.002
40,0.12076159130492005,0.03359926817271872,0.07220307264908257,0.25032970160621804,0.18136752739361559,0.26713297189015894,0.002
41,0.11690677814245481,0.032311277072534735,0.07050577937089016,0.23983023720033747,nan,nan,0.002
42,0.1132065127457305,0.030936596966137708,0.06891329850924477,0.23014280656588618,nan,nan,0.002
43,0.10952862338614382,0.029595258393500475,0.06734879539668591,0.22030152895457,nan,nan,0.002
44,0.10591277302260182,0.028465982467852907,0.06564079363452066,0.21076806552769925,nan,nan,0.002
45,0.10247313787702908,0.02742503686090758,0.06396623247444155,0.2018371087610921,nan,nan,0.002
46,0.09910280601391934,0.025988986852399757,0.06263083621112503,0.19315835853602165,nan,nan,0.002
47,0.09589238908335103,0.025245419883745332,0.06085556822219706,0.1850375544669936,nan,nan,0.002
48,0.09280832551110096,0.02407782924843858,0.05947339986022414,0.17736897745616917,nan,nan,0.002
49,0.08989958452359227,0.023255994086395844,0.05796936755135794,0.1700615063252048,nan,nan,0.002
50,0.08706951006319251,0.022266196032761545,0.056633389117012635,0.1630540126162451,0.1479430963178399,0.23634279242702097,0.002
51,0.08440114766458436,0.021497224499262835,0.05521450088278093,0.15663750659799827,nan,nan,0.002
