i,K_path,Q0_path,Q1_true,Q1_model,active_surface,branch_sign_eff,t_path,s_path
0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,red,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,1.1969591984239969e-16,-1.1969591984239969e-16,1.2143064331837650e-16,0.0000000000000000e+00,red,-1.0000000000000000e+00,0.0000000000000000e+00,1.1969591984239969e-16
2,2.8102520310824275e-16,-2.8102520310824275e-16,3.1918911957973251e-16,0.0000000000000000e+00,red,-1.0000000000000000e+00,0.0000000000000000e+00,2.8102520310824275e-16
3,8.2572837456496018e-16,-8.2572837456496018e-16,4.7531423241764514e-16,0.0000000000000000e+00,red,-1.0000000000000000e+00,0.0000000000000000e+00,8.2572837456496018e-16
4,1.2004286453759505e-15,-4.5102810375396984e-16,5.5511151231257827e-16,0.0000000000000000e+00,red,-1.0000000000000000e+00,3.7470027081099033e-16,8.2572837456496018e-16
5,1.7000290064572710e-15,-9.5062846483529029e-16,1.3739009929736312e-15,2.9802322387695312e-08,red,-1.0000000000000000e+00,3.7470027081099033e-16,1.3253287356462806e-15
6,2.3314683517128287e-15,-1.5820678100908481e-15,1.3392065234540951e-15,0.0000000000000000e+00,red,-1.0000000000000000e+00,3.7470027081099033e-16,1.9567680809018384e-15
7,3.0808688933348094e-15,-8.3266726846886741e-16,9.7144514654701197e-16,0.0000000000000000e+00,red,-1.0000000000000000e+00,1.1241008124329710e-15,1.9567680809018384e-15
8,3.1502578323738817e-15,-9.0205620750793969e-16,1.2212453270876722e-15,0.0000000000000000e+00,red,-1.0000000000000000e+00,1.1241008124329710e-15,2.0261570199409107e-15
9,3.9135361618036768e-15,-1.6653345369377348e-15,1.4155343563970746e-15,-2.9802322387695312e-08,red,-1.0000000000000000e+00,1.1241008124329710e-15,2.7894353493707058e-15
10,4.2327252813834093e-15,-1.9845236565174673e-15,2.1926904736346842e-15,-2.9802322387695312e-08,red,-1.0000000000000000e+00,1.1241008124329710e-15,3.1086244689504383e-15
11,5.0792703376600912e-15,-1.1379786002407855e-15,2.0955459589799830e-15,0.0000000000000000e+00,red,-1.0000000000000000e+00,1.9706458687096529e-15,3.1086244689504383e-15
12,7.0221606307541151e-15,-3.0808688933348094e-15,2.2343238370581275e-15,5.2154064178466797e-08,red,-1.0000000000000000e+00,1.9706458687096529e-15,5.0515147620444623e-15
