element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
7.870000000000000000e+02,2.089911476136851576e+01,2.288090223603458639e+01,2.231515377368695496e+01,8.880904405879143371e-02,1.477965656260108514e-04,1.909135134368815183e-04,1.606109691789444781e-04
8.900000000000000000e+02,1.051545981987570144e+01,1.208823664672987697e+01,1.182217710020405832e+01,1.330361416110936446e-01,3.813644659753111558e-04,3.764029809738384208e-04,3.841263595350427303e-04
8.520000000000000000e+02,6.008703939925180038e+00,8.271274860445705812e+00,6.649709557444789532e+00,3.402510893107245638e-01,7.019419386222280986e-04,8.264999758242847286e-04,8.695695132369344466e-04
9.230000000000000000e+02,6.433809975787249336e+00,7.749639347439523540e+00,7.528672878545632052e+00,1.747757397458424844e-01,3.829467260817379223e-04,3.852755132833741102e-04,4.204242049413513499e-04
8.030000000000000000e+02,1.872641607637113736e+01,1.978614025044461400e+01,1.939811591622484244e+01,5.463026299307290751e-02,1.204875642950435541e-04,1.527982584070506635e-04,1.242598457311198923e-04
5.650000000000000000e+02,6.266347253988303834e+00,8.669900874149977454e+00,6.931589521156894307e+00,3.467535999968613947e-01,8.251190898000714848e-04,7.794524488091130604e-04,7.763468807317038456e-04
7.700000000000000000e+02,5.603695512236933851e+00,7.328138713746064958e+00,6.159800789500441631e+00,2.799511316094011049e-01,5.765403104253937839e-04,5.861833697910512906e-04,7.443961987696115891e-04
7.640000000000000000e+02,8.031851630830407984e+00,9.685939094781323533e+00,8.905018326647548221e+00,1.857477888620613360e-01,4.001977170998198769e-04,4.426634370896660969e-04,4.935760810498841626e-04
8.590000000000000000e+02,8.248884431444249543e+00,9.648065954041046055e+00,9.018721403091930711e+00,1.551418942952499380e-01,3.027559962745878766e-04,3.921676582692953700e-04,2.778080068299169968e-04
5.810000000000000000e+02,2.139757833528760500e+01,2.251858695681995925e+01,2.201108678565431021e+01,5.092927180056232989e-02,9.376217515489647446e-05,1.242357682964174992e-04,9.804531585679762673e-05
9.190000000000000000e+02,7.925321629055468442e+00,1.316622538223284877e+01,1.180548533858176974e+01,4.439380171901502470e-01,9.811513679052923705e-04,9.369302501708781433e-04,9.854995695090366416e-04
4.960000000000000000e+02,1.855419647896438562e+01,1.942456738023116358e+01,1.877600560480111724e+01,4.635548793425049718e-02,1.053988609435947460e-04,8.968052145757999215e-05,1.360983946252166158e-04
4.070000000000000000e+02,1.290087093035142907e+01,1.593627020912309611e+01,1.531509456581413531e+01,1.981965743487597020e-01,3.547396467813125555e-04,4.504902455259325979e-04,3.870087610054607878e-04
6.000000000000000000e+00,7.479280103277732294e+00,1.094851254047105016e+01,9.846328568399096426e+00,3.523376670901991470e-01,7.818929088443225687e-04,7.643767386228875584e-04,8.569121759629470510e-04
7.730000000000000000e+02,2.518439425231405338e+01,2.655113215771199364e+01,2.618408446497365460e+01,5.219727683151267200e-02,1.272370021997250907e-04,1.022156264782711249e-04,1.223334383240609353e-04
3.690000000000000000e+02,2.217979918034908238e+01,2.339820292367554799e+01,2.267080741441471403e+01,5.374328849671985986e-02,7.897074109375458526e-05,1.238981478413703837e-04,1.217172338322912987e-04
8.580000000000000000e+02,1.625096655954287428e+01,1.800742017934792827e+01,1.688076776841147009e+01,1.040505766030297985e-01,2.048356697755653586e-04,2.323861882407182949e-04,2.718422416853504475e-04
8.280000000000000000e+02,1.374833049381910577e+01,1.704185362481952382e+01,1.600172293172270699e+01,2.058230319980828005e-01,3.958542808934129215e-04,4.359408803110859120e-04,4.326447936823249268e-04
8.660000000000000000e+02,6.633970334511093192e+00,7.887565943584172956e+00,7.476762140686450842e+00,1.676655730762602048e-01,3.423152786921689430e-04,3.563747610492000732e-04,3.837021808967802281e-04
7.430000000000000000e+02,1.481094608475443586e+01,1.619796891527188976e+01,1.544045937694225046e+01,8.983041220837904850e-02,2.403513720930929129e-04,2.063302137894409960e-04,2.438758578230155614e-04
1.270000000000000000e+02,8.715836350430697266e+00,9.435251608413102176e+00,9.077462668184038463e+00,7.925290186033065454e-02,1.831491049408912541e-04,1.752895007418086085e-04,1.597635712134876107e-04
3.800000000000000000e+02,2.801704291655073575e+01,2.968573957991216616e+01,2.897806730117565976e+01,5.758481564758220761e-02,8.043790161179927413e-05,1.278878132398232246e-04,1.260027776092349826e-04
5.630000000000000000e+02,1.873086579162637477e+01,2.054259553210656719e+01,1.945248849463248675e+01,9.313614250331528344e-02,1.457799623684121891e-04,1.829713213824692283e-04,1.727803943379911981e-04
6.480000000000000000e+02,2.650755248563939048e+01,2.749047963803241501e+01,2.729500056471485436e+01,3.601125231936015691e-02,4.387918930469837284e-05,6.751148698828987463e-05,7.035795957421422703e-05
6.920000000000000000e+02,1.038651798700197126e+01,1.143942352700901566e+01,1.108895789911497864e+01,9.495081048969244986e-02,2.181222566150714060e-04,2.053475809703892395e-04,2.318342545170495698e-04
6.860000000000000000e+02,1.093068881699903017e+01,1.314083126741389407e+01,1.257031033822236132e+01,1.758224252980068181e-01,3.802010091946033451e-04,3.911660402176433721e-04,4.030172984638243821e-04
1.190000000000000000e+02,1.373236956173394852e+01,1.474698301155966185e+01,1.443690284479540686e+01,7.027916310952302126e-02,1.542324297874409303e-04,1.588277889898866645e-04,1.931257820478238978e-04
2.990000000000000000e+02,1.856224093928879526e+01,2.199601834374032805e+01,1.939946288774637750e+01,1.770037358415974260e-01,2.856307066972534384e-04,3.592670398572501782e-04,2.955574852353360185e-04
2.700000000000000000e+01,6.206595362566189600e+00,7.072650994994177154e+00,6.502848149495143559e+00,1.331809712479945784e-01,2.765385405969303400e-04,3.245610592091674202e-04,3.857457679837327067e-04
8.830000000000000000e+02,7.238376276952157795e+00,1.150464097982171907e+01,8.153939639798801764e+00,5.232151440079622073e-01,1.079533937792626465e-03,1.160484347277010138e-03,1.177520304034683322e-03
6.400000000000000000e+02,2.445195782198495138e+01,2.732096924175056429e+01,2.534509079047235147e+01,1.131979144791275677e-01,1.873717030266415192e-04,2.392071066569856949e-04,1.902268044183940830e-04
1.040000000000000000e+02,1.461179974487703426e+01,1.608687024837237445e+01,1.543193309003269142e+01,9.558559481106558564e-02,3.008770519071824498e-04,2.614746500527591637e-04,2.920456939594039928e-04
9.460000000000000000e+02,7.413463414222064785e+00,9.014637026036197653e+00,8.307356837217062306e+00,1.927416437248554437e-01,5.308734039787514495e-04,5.422277873001992614e-04,6.002105578935280341e-04
2.070000000000000000e+02,2.156825994567716265e+01,2.326469390477138077e+01,2.213165797504962029e+01,7.665191469191835749e-02,1.090710548737910170e-04,1.564645844902580170e-04,1.421868745769825683e-04
1.800000000000000000e+01,8.943859776352804047e+00,1.054373279022339283e+01,9.386591760171596022e+00,1.704423772491136246e-01,2.653314617480114065e-04,3.663251841454540124e-04,3.821331099315622751e-04
1.860000000000000000e+02,2.487288496785965819e+01,2.554832876840610822e+01,2.521577160283085561e+01,2.678656085505712325e-02,6.255934832373839175e-05,7.379098145221573216e-05,7.629186253722083802e-05
5.400000000000000000e+02,2.055374337628686376e+01,2.210294270097617542e+01,2.083685181547970089e+01,7.434901099303356520e-02,1.633016420599334596e-04,1.697242232169569930e-04,1.371311869860927053e-04
