element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
8.360000000000000000e+02,3.561876454784829349e+01,4.655863055909212278e+01,4.104712372175799118e+01,2.665196734709305848e-01,2.262468897504456289e-03,2.489342423771682099e-03,2.230785178223683527e-03
6.050000000000000000e+02,4.221071806255235970e+01,6.144468041364948618e+01,5.864627220754996983e+01,3.279656426077324771e-01,2.691048082360579432e-03,2.585168822842794003e-03,2.405149526501922878e-03
8.920000000000000000e+02,3.591628332843971094e+01,4.514713090245526672e+01,3.767497649629370926e+01,2.450126962899006333e-01,3.701932467439726475e-03,3.961085537597606662e-03,4.090396792950235470e-03
4.560000000000000000e+02,5.738757469175260439e+01,7.513955504299727295e+01,7.042346956808304981e+01,2.520747764931213775e-01,1.678058567147651826e-03,1.628296812387476080e-03,1.513412258131663400e-03
1.330000000000000000e+02,3.705099039999501542e+01,5.167447238161464185e+01,4.722062630275726747e+01,3.096842021505704645e-01,3.149217100031206570e-03,3.198629979638786466e-03,2.862926425896715043e-03
7.010000000000000000e+02,3.887559733830119058e+01,5.723416910037531125e+01,4.514465999104908178e+01,4.066609819569825257e-01,6.839782457241421788e-03,7.164122963791803508e-03,7.323621848050063110e-03
1.250000000000000000e+02,5.608479781332627567e+01,6.296626843327573653e+01,5.965307340311327522e+01,1.153581907414399782e-01,2.043907327733941737e-03,1.828139372517138339e-03,2.448336007236448161e-03
1.500000000000000000e+02,3.544060436325342067e+01,4.434977021698183819e+01,4.123321298073793884e+01,2.160677087640569538e-01,2.256814869282112220e-03,2.679450738566428389e-03,2.915116530702157281e-03
1.820000000000000000e+02,4.507613478075319335e+01,5.624358845549555497e+01,5.255197372698862779e+01,2.125030304809883142e-01,2.449138108722418664e-03,2.424756015785962514e-03,2.655614790317108783e-03
9.420000000000000000e+02,2.494875356967525448e+01,3.843294086779362573e+01,3.547719876805712147e+01,3.800803830729508892e-01,3.818665132736357229e-03,3.404684936846877254e-03,3.508703860697184266e-03
8.700000000000000000e+01,3.199978539437142189e+01,4.466392218505334455e+01,3.728148161129910676e+01,3.396897398746012153e-01,3.095390034743975873e-03,3.524449708674868165e-03,4.220038364095662214e-03
4.740000000000000000e+02,6.141970342990588705e+01,7.241178752003956731e+01,6.380742624754773828e+01,1.722696672874519941e-01,6.893698806300211680e-04,7.501867626764086982e-04,7.435194080284848002e-04
6.480000000000000000e+02,5.941553675374427002e+01,6.860374190847430498e+01,6.185749962608775121e+01,1.485382566426109718e-01,1.683061222007668561e-03,1.382407737908543507e-03,1.402432188302382265e-03
8.260000000000000000e+02,4.993425310547291929e+01,7.356031700509574023e+01,5.601387099360814403e+01,4.217895224973621238e-01,1.777878636055747665e-03,2.086177513016077359e-03,2.432620228542558497e-03
5.160000000000000000e+02,4.055416519571155476e+01,5.316034177883466327e+01,5.018759185058950578e+01,2.511811409611404700e-01,1.680883290453801839e-03,2.015811921757685102e-03,2.057836124845600825e-03
7.910000000000000000e+02,4.436995412663785032e+01,6.807424188169269996e+01,4.938421156401292222e+01,4.799972907197034289e-01,2.291015830613935683e-03,2.600399958214374366e-03,2.611549887909623332e-03
9.770000000000000000e+02,4.343229379162027470e+01,5.675196765910416730e+01,5.170391523764737229e+01,2.576144148129305700e-01,3.614010128954502857e-03,3.766303708040918789e-03,3.564061735097908638e-03
8.100000000000000000e+01,3.603142282529540807e+01,5.325823565640888546e+01,4.632829666713748651e+01,3.718421368885151401e-01,3.391408289332361291e-03,3.113738841643127163e-03,2.896960516989205425e-03
1.160000000000000000e+02,4.091129583742574738e+01,5.458523049604136901e+01,4.335034452139273498e+01,3.154285118049694470e-01,2.531497947195775547e-03,2.780694740553410049e-03,2.390968463978982664e-03
3.610000000000000000e+02,3.071522770669537650e+01,4.334391808036956206e+01,4.101277451428899923e+01,3.079208983843388370e-01,2.928937548259086948e-03,3.194737289777630287e-03,3.076859160802805464e-03
