element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
8.810000000000000000e+02,2.797250505783897623e+01,3.820315596303070294e+01,3.103891783479935995e+01,3.296072034354756708e-01,1.802887312392163115e-03,2.454144171787772059e-03,2.208961959745886234e-03
7.260000000000000000e+02,5.013934810426380295e+01,5.850710627295686095e+01,5.471700256562496634e+01,1.529279342130842601e-01,1.192084011129271055e-03,1.209855637920719852e-03,9.192799230599119856e-04
9.070000000000000000e+02,2.827561936015985111e+01,4.230572314944937062e+01,3.624447295585549256e+01,3.870963665653987529e-01,4.620904140189937247e-03,4.737759308510945330e-03,3.984813915219393571e-03
8.470000000000000000e+02,1.975827010068120515e+01,3.145762720969446846e+01,2.457586173907930061e+01,4.760507376394266243e-01,5.438904634789567746e-03,4.383869122078023345e-03,3.104200861384512431e-03
4.650000000000000000e+02,5.423366246596408047e+01,6.242421879098693438e+01,5.673773850701201837e+01,1.443581739517272311e-01,1.404881555513709870e-03,1.586405631591648055e-03,1.443159542736055382e-03
5.860000000000000000e+02,5.065648296993112609e+01,6.294077970386484111e+01,5.390327416602256250e+01,2.278951867765578176e-01,1.091568712310007211e-03,1.369431954233155113e-03,1.573787138780840655e-03
6.600000000000000000e+01,6.131587017603100520e+01,7.346731615877132526e+01,6.563760468004154802e+01,1.851293331311222312e-01,1.087845895599065440e-03,1.019324780796027063e-03,8.520467329012222082e-04
2.050000000000000000e+02,5.858975498184593533e+01,6.677643714021928645e+01,6.227373326612958948e+01,1.314628452318283014e-01,8.720930079043478578e-04,9.481114450127827711e-04,6.793656235297940117e-04
8.800000000000000000e+01,5.231185904477003135e+01,6.572498420481191772e+01,5.964050357788371315e+01,2.248995960023354168e-01,8.167703715361880742e-04,9.647038936705870996e-04,8.869322124628626226e-04
7.690000000000000000e+02,3.287619852110328367e+01,5.278459283899069732e+01,4.021945845512015438e+01,4.949940919792013561e-01,1.665352519567655327e-03,2.087044509628726945e-03,1.970690574792778680e-03
9.100000000000000000e+01,5.117627558071940541e+01,6.068792211078614685e+01,5.416537438918996372e+01,1.756038177032341330e-01,9.738183861822267062e-04,1.128373947299371547e-03,1.080662903803802010e-03
2.930000000000000000e+02,5.427404938511914168e+01,6.019690370926127088e+01,5.755668215177075808e+01,1.029047210977901972e-01,1.096295568043787307e-03,1.170652017291161232e-03,1.200932351024395573e-03
9.770000000000000000e+02,3.236489825084871796e+01,4.314853961406186045e+01,4.032794462374139499e+01,2.673987346447783686e-01,2.919834345934196711e-03,2.755805238309407424e-03,2.023485085765208951e-03
6.480000000000000000e+02,3.711240065381041120e+01,5.204123695488561196e+01,4.700835478579961091e+01,3.175783617423032501e-01,1.229650949142505143e-03,1.281607547314743151e-03,1.274222913188739021e-03
2.590000000000000000e+02,5.398304769451959828e+01,5.977926493738337399e+01,5.787921413152364636e+01,1.001433300336898174e-01,7.290046342650067287e-04,8.330078923923105215e-04,7.454719076275131235e-04
1.430000000000000000e+02,6.194818197061096043e+01,6.860251841750640267e+01,6.333221265950839296e+01,1.050703294178431391e-01,5.855360070365441981e-04,7.255698353320788087e-04,6.925588193063318904e-04
7.560000000000000000e+02,2.677742361493158896e+01,4.381251534601263842e+01,3.883624413265981445e+01,4.386390113547355418e-01,2.659330365480342719e-03,2.877773194316596804e-03,2.758452287724634262e-03
3.390000000000000000e+02,6.005302686108738897e+01,6.979962667630866235e+01,6.456574919431812987e+01,1.509561948377265428e-01,1.541254697307994914e-03,1.671596422003757913e-03,1.329808256941887937e-03
9.880000000000000000e+02,2.721407042073279570e+01,3.641110268042281461e+01,3.200818110356565427e+01,2.873337985039545184e-01,1.907899765663121456e-03,2.800874111810672772e-03,3.118050769097215416e-03
7.040000000000000000e+02,4.119838158651133853e+01,5.358260080110871115e+01,4.933147508035401785e+01,2.510409265975774296e-01,1.719682872984540714e-03,1.407093702598230566e-03,8.734516495684888646e-04
