element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
8.540000000000000000e+02,4.238345776180588054e+00,4.808821123084505267e+00,4.460092110860884418e+00,1.279066289942169810e-01,1.329584098432791840e-03,1.406498028305814890e-03,1.240353862579440846e-03
8.710000000000000000e+02,2.979959350613446745e+00,3.307731503934079775e+00,3.099512235218101264e+00,1.057495916926325386e-01,7.617856412715131708e-04,9.086176096213911466e-04,7.004206491903105505e-04
8.380000000000000000e+02,2.481535567098021478e+00,3.035367281671712547e+00,2.863706229436167039e+00,1.933968327061028891e-01,1.583001475589493248e-03,1.676861489205835757e-03,1.153568922652046125e-03
8.680000000000000000e+02,3.736340691183809515e+00,4.290013595207410546e+00,4.030484192133381605e+00,1.373713126339135004e-01,9.800338439155450304e-04,1.113292095265416750e-03,8.979277906550729585e-04
8.360000000000000000e+02,1.061453879098178454e+01,1.096023532089427377e+01,1.081496611640574734e+01,3.196464290240219608e-02,1.628550328487606024e-04,1.867641557608172380e-04,1.605187606850976315e-04
7.080000000000000000e+02,1.263628216174311625e+01,1.308383558506601574e+01,1.285925901687140716e+01,3.480398230844462815e-02,3.663510786875583711e-04,4.356992365639583676e-04,3.893827454290948271e-04
6.050000000000000000e+02,1.508393667800559079e+01,1.549261220804162598e+01,1.532593585930507096e+01,2.666561662450843070e-02,1.732793328843945885e-04,1.951470060880323206e-04,1.611429143714777814e-04
3.230000000000000000e+02,2.258778431233953299e+01,2.300264513685844747e+01,2.286221480338761580e+01,1.814613448813552285e-02,9.144717338987685864e-05,1.287119422167948962e-04,1.056242968359838701e-04
8.920000000000000000e+02,7.079848842903318840e+00,7.477190953485468583e+00,7.181891358340554810e+00,5.532555294375261085e-02,3.543769026804676966e-04,3.440589188750825815e-04,3.117027181907647986e-04
8.860000000000000000e+02,4.631582876727926568e+00,5.063838602135105837e+00,4.792382943447877075e+00,9.019640761349366487e-02,7.157075869277683194e-04,8.302930816997007839e-04,7.372517361826281699e-04
4.560000000000000000e+02,2.812189235946582144e+01,2.853489127954272675e+01,2.843831085641221890e+01,1.452262485497738537e-02,1.205805826713978937e-04,1.457767733948336030e-04,1.110136970163879419e-04
1.330000000000000000e+02,1.737050310483480331e+01,1.789221392468535754e+01,1.764134834476955760e+01,2.957318282336593787e-02,2.978046759104871228e-04,3.014187352305790755e-04,3.138587107431458994e-04
7.010000000000000000e+02,1.731221382883648374e+01,1.800666245918671038e+01,1.760188389762907590e+01,3.945308549863613817e-02,4.945061156488735326e-04,5.381415993056882022e-04,4.686407677327603799e-04
1.250000000000000000e+02,2.061739292926601763e+01,2.105238280785679095e+01,2.088467648192005655e+01,2.082818371485647274e-02,1.077590837645106775e-04,1.044717434379621349e-04,1.113805106165245885e-04
1.780000000000000000e+02,1.695490039001713356e+01,1.738847786733561662e+01,1.719230901096639386e+01,2.521926967703515612e-02,9.720125402659189607e-05,1.356495678527744342e-04,1.082396372873194786e-04
6.240000000000000000e+02,1.822291947240903554e+01,1.850643228601256851e+01,1.837574011025199283e+01,1.542864733080103780e-02,1.366797797150921714e-04,1.493157965138901255e-04,1.144767478360731030e-04
8.960000000000000000e+02,3.376777096591211169e+00,4.076445423744312180e+00,3.711487820058074316e+00,1.885142457889443235e-01,1.953818246129534249e-03,1.935851297204981480e-03,1.753327689877771283e-03
1.500000000000000000e+02,1.565280798390632100e+01,1.606930022138232417e+01,1.590621446506814429e+01,2.618424631395908225e-02,3.180125417055709746e-04,3.140613141709688904e-04,2.912103287353234936e-04
9.180000000000000000e+02,2.891192587232623623e+00,3.534897411003006695e+00,3.239069500270117086e+00,1.987314022489181931e-01,1.720122229366387138e-03,1.883426952420452511e-03,1.777238052979182451e-03
2.600000000000000000e+01,9.791571281845051544e+00,1.042225457002394329e+01,1.014490087564433018e+01,6.216751606642340056e-02,6.725944469825710648e-04,6.621567433714718081e-04,6.447073671160609724e-04
