element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
9.330000000000000000e+02,6.593392519752248049e+00,8.380047305293919280e+00,7.105186663496657395e+00,2.514578251294540268e-01,1.667162021671854443e-03,1.824120972489180368e-03,1.409330442570692855e-03
8.810000000000000000e+02,8.171211709040367310e+00,1.004315826189814231e+01,8.978409668728170701e+00,2.084942235792348331e-01,1.587906181161874387e-03,1.477604997027722952e-03,1.042822248272340293e-03
8.040000000000000000e+02,1.099965886552569749e+01,1.201804679535683107e+01,1.167560321796114486e+01,8.722358158458984323e-02,3.942834451992016068e-04,4.482817703448854557e-04,5.605762369965603103e-04
8.350000000000000000e+02,6.993724786866303056e+00,7.939363290486063818e+00,7.631491067929151662e+00,1.239126790823022184e-01,7.650062532992211572e-04,6.648996356917455993e-04,7.505550861444467998e-04
6.470000000000000000e+02,9.631847915943694716e+00,1.076384237612098538e+01,1.034204272588442208e+01,1.094555969435415110e-01,6.485686124306200805e-04,7.632413035846109068e-04,6.546939750697626991e-04
8.710000000000000000e+02,5.856621042482533568e+00,9.229013986036049388e+00,6.614392587441725091e+00,5.098567856338671600e-01,2.280464608238963811e-03,2.535062945297730536e-03,1.913969622046172558e-03
7.260000000000000000e+02,1.251598877719079361e+01,1.384721682731930059e+01,1.356459695948785615e+01,9.813988975156168193e-02,4.531393598504495951e-04,5.113527501771505078e-04,3.558988429945622849e-04
9.070000000000000000e+02,6.263924185639035080e+00,8.544124106148933251e+00,7.808001434620749137e+00,2.920337476373238150e-01,1.340375776812757335e-03,1.671951076081992999e-03,1.400674032733525282e-03
6.420000000000000000e+02,6.602898051567844817e+00,8.363385808673321264e+00,7.298420477036728471e+00,2.412148988462037291e-01,1.568172059697691941e-03,1.707536789849698616e-03,1.150356003966040768e-03
8.470000000000000000e+02,7.278164917140109935e+00,9.299998835678621845e+00,7.996751229371516168e+00,2.528319139293035978e-01,2.298799994455345136e-03,2.010737035961628061e-03,1.362897029794953680e-03
7.380000000000000000e+02,5.501168734882230460e+00,7.379905944184630862e+00,6.450202775076192552e+00,2.912679298334474587e-01,1.816952296286256747e-03,1.765420520324790816e-03,1.316043242199464291e-03
8.590000000000000000e+02,4.571472499775284248e+00,7.075837282791215266e+00,6.020800091366559137e+00,4.159521566921030034e-01,2.412037162631881174e-03,2.575067737965392248e-03,1.934923433817532529e-03
9.320000000000000000e+02,5.472526456239831028e+00,7.407543242794378813e+00,6.287164757018260275e+00,3.077725590687789281e-01,1.668742137304417587e-03,1.640223219924344259e-03,1.244748647767238234e-03
7.660000000000000000e+02,7.194566688749056915e+00,9.120022595369219331e+00,8.767663418168334388e+00,2.196087845514503312e-01,8.321387760439750200e-04,1.023483612789037340e-03,1.051968790193915206e-03
7.700000000000000000e+02,3.946933071998984577e+00,6.272952523813176917e+00,5.236231490280058409e+00,4.442163139906913916e-01,2.034081024607931661e-03,2.285961757126081430e-03,1.974953613502279572e-03
3.490000000000000000e+02,1.689947609688947949e+01,1.834120714815754027e+01,1.734165375978300005e+01,8.313688366974415767e-02,4.481460200682050340e-04,5.349305845614377511e-04,3.754775420550109945e-04
4.650000000000000000e+02,1.801625653470780009e+01,1.903276723933361225e+01,1.853605543591728377e+01,5.483964526002231554e-02,3.776942075547195924e-04,3.790822519889577359e-04,2.774730866733554819e-04
9.160000000000000000e+02,4.328340850784066163e+00,8.688085229346627969e+00,5.757519833651342900e+00,7.572261155021796641e-01,2.796390367247072323e-03,3.723972474019059554e-03,2.673562339224531265e-03
3.040000000000000000e+02,1.896992589584587563e+01,2.033855388009997611e+01,1.943411799601336298e+01,7.042398242795763763e-02,2.771194323768151656e-04,2.926822814183898942e-04,1.931879471499098181e-04
2.210000000000000000e+02,2.057186159516283652e+01,2.130628399488657720e+01,2.099033382716555352e+01,3.498860026576880444e-02,2.935431924583605055e-04,2.360518870277766770e-04,2.231585356954565746e-04
