element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
8.540000000000000000e+02,4.258854778549205022e+00,4.822349626071495976e+00,4.462113574770190105e+00,1.262842906349178618e-01,3.503494203727639585e-03,3.528827722172486313e-03,3.286982669731681062e-03
8.710000000000000000e+02,2.974822314500398690e+00,3.459989713655640564e+00,3.101193855473732608e+00,1.564453632264560801e-01,3.610779564591929790e-03,3.678816755402818106e-03,3.498123938462356988e-03
8.380000000000000000e+02,2.509418437931127510e+00,3.009144511670895028e+00,2.866605633527317121e+00,1.743267605055466851e-01,2.811134761302809711e-03,2.641300851887060531e-03,2.608269532427771441e-03
8.680000000000000000e+02,3.729183793118546308e+00,4.289201064106486605e+00,4.030699529192577124e+00,1.389379850648708725e-01,2.378491511772453781e-03,2.345441401476237430e-03,2.353582374348458812e-03
8.360000000000000000e+02,1.063765757137573154e+01,1.099673944095297351e+01,1.081809891573798588e+01,3.319269608959257711e-02,6.271961401818248105e-04,6.276183902993960270e-04,6.128907064647371285e-04
7.080000000000000000e+02,1.253354007798832370e+01,1.307812796354773610e+01,1.285397981545886914e+01,4.236725849720585774e-02,1.310333952693250575e-03,1.324986467364944707e-03,1.163815595166468094e-03
6.050000000000000000e+02,1.510337846219423952e+01,1.550178041499144221e+01,1.532432132800793134e+01,2.599801611240375523e-02,4.488458663353646285e-04,4.363489881939568160e-04,4.064001813159783569e-04
3.230000000000000000e+02,2.254684185541695385e+01,2.298651924157526594e+01,2.285035903958861425e+01,1.924159639665022278e-02,3.123677561176861758e-04,3.151848155826690373e-04,3.239914261910994291e-04
8.920000000000000000e+02,7.078000655787985984e+00,7.494466881181638840e+00,7.191681520301988151e+00,5.790943664815748071e-02,9.468050223196592492e-04,8.731903291718934442e-04,9.284748137009162048e-04
8.860000000000000000e+02,4.627854710812426831e+00,5.061374265436872300e+00,4.791086242064398704e+00,9.048460677210626302e-02,1.669819741128112127e-03,1.573635982901464957e-03,1.615840765160725910e-03
4.560000000000000000e+02,2.806826297772014200e+01,2.852163828914869015e+01,2.843652246670181327e+01,1.594341614588896949e-02,2.477376114149521316e-04,2.582985374803696858e-04,2.473246376816235891e-04
1.330000000000000000e+02,1.737336204565899678e+01,1.789913002223576299e+01,1.762460511717120326e+01,2.983147554690595074e-02,7.786641909287771125e-04,7.572946824944129171e-04,7.736547872434247760e-04
7.010000000000000000e+02,1.737734539509216702e+01,1.800873015207541528e+01,1.760786101194730335e+01,3.585811794827551552e-02,1.275146724401295464e-03,1.292782287888356516e-03,1.168414399689639456e-03
1.250000000000000000e+02,2.061778472611000623e+01,2.108288583269326466e+01,2.088383583332170090e+01,2.227086586464902679e-02,3.055709358267137731e-04,3.095625470554650978e-04,3.307144923598576017e-04
1.780000000000000000e+02,1.690586704952011488e+01,1.740745436105820687e+01,1.718604191838742778e+01,2.918573770039751408e-02,4.019338450056556596e-04,3.543502432246285554e-04,3.495114198014923372e-04
6.240000000000000000e+02,1.820552706647407604e+01,1.851267887931034295e+01,1.838078784293832868e+01,1.671048137113833459e-02,3.774152189035365505e-04,3.732449074002061953e-04,3.451643832070851680e-04
8.960000000000000000e+02,3.398875389155168847e+00,4.250901139287909913e+00,3.712209424683225123e+00,2.295198499490494759e-01,5.948059686799336485e-03,5.868070610348856929e-03,5.247436579642922490e-03
1.500000000000000000e+02,1.567999900836390204e+01,1.608497593671707548e+01,1.589997061770237075e+01,2.547029413389537145e-02,7.953824848701159227e-04,7.406172578353689955e-04,6.803243537499069175e-04
9.180000000000000000e+02,2.895457503198785698e+00,3.699224395326043968e+00,3.238429624667196638e+00,2.481964980819550415e-01,5.675385556174023308e-03,5.702843582656693701e-03,5.155984709650285325e-03
2.600000000000000000e+01,9.838485520850873911e+00,1.045982096947108175e+01,1.015088934836301782e+01,6.120995188666965986e-02,1.724233966788844656e-03,1.629084919201702212e-03,1.532573766476089160e-03
