element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
9.330000000000000000e+02,6.270971493868720437e+00,8.505875628149526690e+00,7.108460795065968618e+00,3.144005711942687298e-01,6.689821130239991843e-03,4.930993268993715158e-03,5.943850643064013152e-03
8.810000000000000000e+02,7.684162350274617026e+00,1.002094072443893147e+01,8.983759887815020662e+00,2.601114013892742993e-01,7.952053638338283867e-03,6.426135205326690032e-03,7.212750715441714096e-03
8.040000000000000000e+02,1.078948169681733482e+01,1.246573490938188833e+01,1.167893546966425333e+01,1.435279111626723003e-01,4.116529631866364634e-03,2.828175735230330223e-03,4.320156877357429238e-03
8.350000000000000000e+02,6.475010955742912522e+00,8.581144533260866680e+00,7.628089247951669982e+00,2.761023775493323118e-01,7.050427754485167654e-03,4.288855798713140169e-03,6.992778071802608839e-03
6.470000000000000000e+02,9.320141767919311704e+00,1.111635146768561455e+01,1.033389375675800892e+01,1.738173182389884663e-01,5.867076864917923455e-03,3.104325786816563518e-03,4.660127414156369809e-03
8.710000000000000000e+02,5.759797752891580913e+00,9.766172460593478988e+00,6.628301107579729567e+00,6.044346270148238665e-01,1.458707530591316082e-02,1.445596534301206264e-02,1.431645786610669970e-02
7.260000000000000000e+02,1.198812042285402590e+01,1.384461896769102296e+01,1.356055343565027904e+01,1.369043345942149714e-01,3.352161335705425467e-03,2.216225414614332503e-03,4.549998054925072713e-03
9.070000000000000000e+02,5.635377261515755798e+00,8.579497445570378744e+00,7.808910819283116034e+00,3.770205925241829070e-01,6.501602548291514176e-03,6.579756445903274346e-03,9.427690772961743945e-03
6.420000000000000000e+02,6.644910356628122017e+00,8.956644246197960513e+00,7.301719635467065928e+00,3.166012946239293302e-01,7.293489865708174640e-03,8.417850229534378642e-03,8.297447051192910483e-03
8.470000000000000000e+02,6.851260742073263188e+00,9.624085879884557215e+00,8.007273677601142836e+00,3.462882935508693749e-01,1.035247421608091051e-02,8.806860144774882743e-03,7.623619869691810637e-03
7.380000000000000000e+02,4.798096226244150664e+00,8.110065118481902147e+00,6.447374468315321572e+00,5.136926524919466219e-01,1.348395543441722674e-02,1.013710554985604653e-02,1.247531062705538665e-02
8.590000000000000000e+02,3.770678169093341303e+00,7.634932030681119031e+00,6.014784683269554399e+00,6.424592175903497404e-01,1.681929169997392615e-02,1.557097402916402321e-02,1.432834365964756433e-02
9.320000000000000000e+02,5.027223040038215629e+00,7.504406930478626059e+00,6.285073465841771956e+00,3.941376189003124586e-01,1.031453870911249772e-02,6.644548739424044684e-03,6.197518161824973511e-03
7.660000000000000000e+02,6.616866407899146374e+00,9.088585671816149514e+00,8.767693222785910123e+00,2.819121519322069780e-01,6.085251188253383223e-03,6.356451382494407616e-03,8.849336325458647193e-03
7.700000000000000000e+02,3.176420202403718918e+00,6.752583732599794608e+00,5.235218331435682160e+00,6.830973044089576618e-01,1.126643241818327951e-02,1.570451750704987895e-02,1.786873822412423513e-02
3.490000000000000000e+02,1.691983146367537572e+01,1.863551806959382162e+01,1.734683707918198436e+01,9.890486652333001227e-02,3.170340974759591410e-03,2.920131455234963730e-03,1.954288741730145391e-03
4.650000000000000000e+02,1.802526987624663946e+01,1.953960087037525639e+01,1.853935917002541345e+01,8.168194921089827476e-02,1.965102500914656363e-03,1.785824163098407051e-03,2.504878203315980250e-03
9.160000000000000000e+02,4.141848899139744411e+00,9.320566479372656588e+00,5.772209270331321029e+00,8.971811896791568319e-01,2.367756836478691201e-02,2.183457504878232383e-02,1.933171856770563024e-02
3.040000000000000000e+02,1.891831389356191551e+01,2.034062954365614928e+01,1.944519041741949295e+01,7.314485585186594752e-02,1.891178452201324215e-03,1.441625680583876346e-03,1.517527659452181515e-03
2.210000000000000000e+02,2.030272257837766858e+01,2.145980466544688525e+01,2.099778913006549530e+01,5.510494842585399178e-02,1.367350088716834909e-03,8.187927364675126694e-04,1.201057835130778500e-03
