element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
9.540000000000000000e+02,4.418593889721086754e+01,1.061092776753956741e+02,6.820397599617474782e+01,9.079139137234141232e-01,2.782600494276741155e-03,2.949787098990449673e-03,3.423098708013724758e-03
4.820000000000000000e+02,6.965056498518154626e+01,1.174942168824609041e+02,9.170397179884294303e+01,5.217184267899180883e-01,9.142130047194693731e-04,1.322399195286151760e-03,1.500392364849792654e-03
1.910000000000000000e+02,7.922910400710132706e+01,1.466343983012590968e+02,1.189030339954822608e+02,5.668929717699116022e-01,1.334136743898626382e-03,1.295334672778871224e-03,1.433628864170463863e-03
5.630000000000000000e+02,8.506315623436067597e+01,1.655536005738817380e+02,1.180723260111942636e+02,6.817045709075798543e-01,1.210198305232075078e-03,1.441116748633776380e-03,1.989595157875108204e-03
2.370000000000000000e+02,1.200273320421671031e+02,1.922903678581496365e+02,1.447137048540818398e+02,4.993517088712988161e-01,1.253605535628312404e-03,1.093989187371907775e-03,1.228439201266934766e-03
9.800000000000000000e+01,9.516153266715762982e+01,1.608028987704331882e+02,1.315300100147618139e+02,4.990599947183804730e-01,9.503389074338591813e-04,1.459141574540850830e-03,1.678971172654355028e-03
9.500000000000000000e+02,1.920833501650236741e+01,1.273911969940175197e+02,9.078564107721155096e+01,1.191629653036294423e+00,1.663825379798070016e-03,2.539313153752525108e-03,3.617903879018719362e-03
9.830000000000000000e+02,1.212354880593890982e+01,8.609508941982979024e+01,3.502936929060748383e+01,2.111700613282953665e+00,1.798412989952481202e-03,2.625483705602258550e-03,2.307162892030778425e-03
7.490000000000000000e+02,1.230577967895671350e+02,1.683110109278386517e+02,1.511454347118803980e+02,2.994017928793882843e-01,1.046976982732192524e-03,1.110763866121096356e-03,1.546247344197393620e-03
9.500000000000000000e+01,2.093403997113710702e+01,8.491534943727673124e+01,3.991253224976202318e+01,1.603038090035520336e+00,2.931236910876735841e-03,2.207593322558198349e-03,3.172736650289750219e-03
