element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
8.810000000000000000e+02,3.341365549986151251e+01,5.762112879235644414e+01,4.438081812691586947e+01,5.454490095984440012e-01,1.931796019427874404e-03,2.049841869851552929e-03,1.934788103181146355e-03
7.260000000000000000e+02,9.299702240377760631e+01,1.162256696174690802e+02,1.072853081585408290e+02,2.165128442318061674e-01,1.209988504648944327e-03,1.350427747135422287e-03,1.316567701352278161e-03
4.650000000000000000e+02,9.993052844665709245e+01,1.678184475030808187e+02,1.181803048551317232e+02,5.744435939612981823e-01,1.476193731596604471e-03,1.356792360314267032e-03,1.277558000191345022e-03
6.600000000000000000e+01,8.736021179778592227e+01,1.390776654139937136e+02,1.264722367121294582e+02,4.089233729132566997e-01,3.507119056533014763e-03,3.912041314444792035e-03,3.832567520727556392e-03
8.800000000000000000e+01,8.572113421582254489e+01,1.302333675849707788e+02,1.219718395861112441e+02,3.649386081262053771e-01,1.189628790708289726e-03,1.180144869844695563e-03,1.029405605302902149e-03
7.690000000000000000e+02,8.341838825614821928e+01,1.086593902698851082e+02,8.906791440814639316e+01,2.833905136486307708e-01,1.164553121961826735e-03,1.111516591999813864e-03,1.002327869955119783e-03
9.100000000000000000e+01,1.192529907638686097e+02,1.728868891953672460e+02,1.299566127257404844e+02,4.127061894471444337e-01,2.540513781020232315e-03,2.860222111139316438e-03,2.844865918629961403e-03
9.770000000000000000e+02,2.274744918932760029e+01,7.416107450049173622e+01,6.322478331540391849e+01,8.131878452581088323e-01,2.209386845714489574e-03,2.178568546821895140e-03,1.893373413571925465e-03
6.480000000000000000e+02,1.188260287205094414e+02,1.617147701031317126e+02,1.266927110240737449e+02,3.385257212979891905e-01,1.610381561181377982e-03,1.516547587598321596e-03,1.418724956585358564e-03
9.880000000000000000e+02,4.033535848836147153e+01,7.622070416392971026e+01,6.276747108780644879e+01,5.717188386539843181e-01,1.627384876375512256e-03,1.299918677073319453e-03,1.072699529110944603e-03
