element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
8.710000000000000000e+02,0.000000000000000000e+00,1.266597268564676710e+02,6.583515783321642800e+01,1.923891899482359280e+00,4.650107760148628616e-03,6.828021575548651363e-03,4.693360815386866253e-03
1.120000000000000000e+02,7.147229918345301769e+01,4.046940850475209004e+02,2.157361829728260716e+02,1.544579964622996071e+00,4.090031220631722142e-03,3.142733996471085752e-03,3.457737904335330802e-03
8.290000000000000000e+02,2.812504981447782271e+01,2.452691253892355405e+02,1.334021839037530981e+02,1.627740035586094036e+00,3.504201724223029394e-03,3.689935157687600914e-03,2.828360389128789336e-03
5.420000000000000000e+02,3.613561873651050149e+01,1.734966608123121148e+02,9.951196906872570480e+01,1.380346940787959831e+00,3.905440277916194004e-03,3.016731962167915580e-03,3.467010922349765979e-03
5.920000000000000000e+02,0.000000000000000000e+00,2.730902620453822465e+02,5.537233538322163184e+01,4.931889907755837577e+00,6.905272137755580873e-03,5.664558453324292260e-03,4.399958914472307595e-03
2.610000000000000000e+02,0.000000000000000000e+00,1.084687123256916266e+02,4.200308424831330001e+01,2.582398751588041996e+00,3.360302019198116961e-03,3.237348311824052825e-03,3.014071407927197774e-03
1.240000000000000000e+02,2.517208173218289247e+01,1.471286783731484036e+02,9.179764951120320404e+01,1.328537247852752845e+00,2.707274678375588307e-03,2.727629575547436177e-03,3.368287803409575603e-03
5.000000000000000000e+02,0.000000000000000000e+00,2.031183510588787726e+02,1.056244777738191232e+02,1.923023482244616833e+00,2.875217739460898120e-03,3.155412126214110578e-03,2.842640270586653788e-03
8.590000000000000000e+02,0.000000000000000000e+00,1.928373821507139212e+02,2.890963565444116412e+01,6.670349791180775867e+00,4.446025339697794350e-03,2.497119587895693833e-03,3.184910558509552406e-03
8.170000000000000000e+02,2.964042661468616835e+00,1.866831360223191325e+02,1.518073236504803845e+02,1.210212320084395055e+00,5.149263747709374728e-03,4.731207391256184863e-03,3.429657720276573646e-03
