trial,status,error,trial_seed,hidden_layers,activation,dropout,use_batchnorm,loss,smoothl1_beta,lr,weight_decay,batch_size,patience,lr_patience,lr_factor,grad_clip_norm,best_val_scaled_mse,best_epoch,epochs_ran,last_val_scaled_mse,last_train_scaled_mse
trial_01,ok,,1001,"10,14,18,22",relu,0.0,0,mse,1.0,0.0008,1e-06,4096,60,35,0.5,0.5,0.0002343854810580757,2497,2500,0.00023445788198919848,0.00023850886192935055
trial_02,ok,,1002,"10,14,18,22",silu,0.0,0,smoothl1,1.0,0.0006,5e-05,3072,60,35,0.5,1.0,3.1244064705698762e-06,2468,2500,3.2311682800305713e-06,3.1626086916220465e-06
trial_03,ok,,1003,"4,8,12,16,20",silu,0.0,0,mse,1.0,0.0006,1e-05,3072,100,30,0.5,1.0,3.4489188145473e-05,2490,2500,3.455662833321446e-05,3.376559969160468e-05
trial_04,ok,,1004,"5,10,15,20,23",relu,0.0,0,mse,1.0,0.0004,0.0,4096,100,20,0.7,0.5,0.0004392598076149969,2492,2500,0.0004395302773763254,0.0004388278623445007
trial_05,ok,,1005,"6,9,12,15,18",elu,0.0,0,smoothl1,1.0,0.0004,1e-06,4096,100,35,0.7,0.5,2.6615604938171423e-05,2491,2500,2.7571172100335184e-05,2.6405098194104722e-05
trial_06,ok,,1006,"6,12,18,24",relu,0.0,0,mse,1.0,0.0012,1e-05,2048,100,35,0.7,2.0,0.0003503534672076909,2485,2500,0.0003514806730626772,0.00034938934164059616
trial_07,ok,,1007,"12,16,20",relu,0.0,0,mse,1.0,0.001,5e-05,3072,60,30,0.7,0.5,0.0006734145591021021,1840,1900,0.0006734621423387159,0.0006709681762469117
trial_08,ok,,1008,"4,8,12,16,20",silu,0.0,0,mse,1.0,0.0008,1e-06,2048,80,35,0.7,1.0,1.3167132140985877e-05,2499,2500,1.3929821861722124e-05,1.2773734513565563e-05
trial_09,ok,,1009,"10,15,20",relu,0.0,0,mse,1.0,0.0006,0.0,2048,100,35,0.5,2.0,0.0003794070920253861,2470,2500,0.0003794148846836745,0.00037426171836978025
trial_10,ok,,1010,"10,15,20",elu,0.0,0,smoothl1,0.8,0.001,1e-05,3072,60,35,0.5,2.0,1.901137239893373e-05,2487,2500,1.90124748899733e-05,1.9427837768785848e-05
trial_11,ok,,1011,"10,14,18,22",silu,0.0,0,mse,1.0,0.0006,1e-05,3072,100,20,0.7,1.0,8.538219862869696e-06,2500,2500,8.538219862869696e-06,8.840574689674519e-06
trial_12,ok,,1012,"8,12,16,20",relu,0.0,0,mse,1.0,0.0012,0.0,2048,60,30,0.7,1.0,0.0005122975724676606,2489,2500,0.0005123320258193252,0.00050239598265572
trial_13,ok,,1013,"10,15,20",relu,0.0,0,mse,1.0,0.0012,5e-05,3072,80,30,0.7,0.5,0.0004575276942633531,2481,2500,0.0004575462337011458,0.00045421171704758086
trial_14,ok,,1014,"6,9,12,15,18",relu,0.0,0,smoothl1,1.0,0.0012,1e-06,3072,100,20,0.5,1.0,0.0004938620047515475,2493,2500,0.0004950067480387417,0.00048812832022794247
trial_15,ok,,1015,"5,10,15,20,23",elu,0.0,0,smoothl1,1.0,0.0004,0.0,4096,60,35,0.5,1.0,1.7711210130399304e-05,2478,2500,1.7797926511451537e-05,1.7762062017889685e-05
trial_16,ok,,1016,"8,12,16,20",relu,0.0,0,smoothl1,0.5,0.0006,5e-05,3072,80,30,0.5,2.0,0.0007206930530221958,2455,2500,0.0007207468607029528,0.0007168179971632325
trial_17,ok,,1017,"4,8,12,16,20",relu,0.0,0,mse,1.0,0.0012,0.0,2048,100,35,0.7,1.0,0.0003502544164552515,2499,2500,0.000355090395219751,0.00034825301980438765
trial_18,ok,,1018,"12,16,20",relu,0.0,0,smoothl1,0.5,0.0004,0.0,3072,100,30,0.5,0.5,0.0004198594634841822,2480,2500,0.0004213346713857711,0.0004141066632017108
trial_19,ok,,1019,"5,10,15,20",elu,0.0,0,mse,1.0,0.0006,1e-05,3072,80,35,0.5,1.0,4.321318659020072e-05,2498,2500,4.3561468206135414e-05,4.376842941979489e-05
trial_20,ok,,1020,"6,9,12,15,18",silu,0.0,0,mse,1.0,0.001,5e-05,3072,100,30,0.5,2.0,3.242796534388275e-05,2493,2500,3.2584600063225825e-05,3.3074959698332694e-05
