kernel,epsilon,ridge,cv_rel_l2
gaussian,2.0000000000000001e-01,1.0000000000000000e-10,1.7762783685770933e+00
gaussian,2.0000000000000001e-01,1.0000000000000000e-08,8.0735975299904131e-02
gaussian,5.0000000000000000e-01,1.0000000000000000e-10,2.5244105384790237e-02
gaussian,5.0000000000000000e-01,1.0000000000000000e-08,1.3164262780154748e-02
gaussian,1.0000000000000000e+00,1.0000000000000000e-10,2.0518108850798036e-03
gaussian,1.0000000000000000e+00,1.0000000000000000e-08,4.7055455436301932e-03
gaussian,1.5000000000000000e+00,1.0000000000000000e-10,1.7968723495957642e-03
gaussian,1.5000000000000000e+00,1.0000000000000000e-08,3.8187453063152398e-03
gaussian,2.0000000000000000e+00,1.0000000000000000e-10,3.1329824612457472e-03
gaussian,2.0000000000000000e+00,1.0000000000000000e-08,4.8717326618009831e-03
gaussian,3.0000000000000000e+00,1.0000000000000000e-10,7.6219505825788529e-03
gaussian,3.0000000000000000e+00,1.0000000000000000e-08,1.0715479509648055e-02
gaussian,4.0000000000000000e+00,1.0000000000000000e-10,1.8274259982832792e-02
gaussian,4.0000000000000000e+00,1.0000000000000000e-08,2.0965745329073124e-02
gaussian,5.0000000000000000e+00,1.0000000000000000e-10,3.5636439202966372e-02
gaussian,5.0000000000000000e+00,1.0000000000000000e-08,3.8711994627419137e-02
imq,2.0000000000000001e-01,1.0000000000000000e-10,3.1468543965351797e-01
imq,2.0000000000000001e-01,1.0000000000000000e-08,4.9805857391259194e-02
imq,5.0000000000000000e-01,1.0000000000000000e-10,8.5650978657990290e-02
imq,5.0000000000000000e-01,1.0000000000000000e-08,9.6059609016545949e-03
imq,1.0000000000000000e+00,1.0000000000000000e-10,7.7877629821045113e-01
imq,1.0000000000000000e+00,1.0000000000000000e-08,5.9445950437260293e-03
imq,1.5000000000000000e+00,1.0000000000000000e-10,2.5217756746437552e-02
imq,1.5000000000000000e+00,1.0000000000000000e-08,6.3094106109125997e-03
imq,2.0000000000000000e+00,1.0000000000000000e-10,4.1643092203435428e-02
imq,2.0000000000000000e+00,1.0000000000000000e-08,9.4128685567060801e-03
imq,3.0000000000000000e+00,1.0000000000000000e-10,3.4295747214894046e-01
imq,3.0000000000000000e+00,1.0000000000000000e-08,1.6870361076579000e-02
imq,4.0000000000000000e+00,1.0000000000000000e-10,2.4160882150616139e-02
imq,4.0000000000000000e+00,1.0000000000000000e-08,2.5793740031831928e-02
imq,5.0000000000000000e+00,1.0000000000000000e-10,3.4527960687596504e-02
imq,5.0000000000000000e+00,1.0000000000000000e-08,3.5404333766058296e-02
