kernel,epsilon,ridge,cv_rel_l2
gaussian,2.0000000000000001e-01,1.0000000000000000e-10,1.2628830384714251e-01
gaussian,2.0000000000000001e-01,1.0000000000000001e-09,3.5089488414169298e-02
gaussian,5.0000000000000000e-01,1.0000000000000000e-10,2.8110284875847165e-02
gaussian,5.0000000000000000e-01,1.0000000000000001e-09,2.5232465604848810e-03
gaussian,1.0000000000000000e+00,1.0000000000000000e-10,3.7320672334686760e-04
gaussian,1.0000000000000000e+00,1.0000000000000001e-09,4.5116501947216553e-04
gaussian,1.6000000000000001e+00,1.0000000000000000e-10,1.2119938957498560e-04
gaussian,1.6000000000000001e+00,1.0000000000000001e-09,1.7602402439795083e-04
gaussian,1.8000000000000000e+00,1.0000000000000000e-10,9.2268673211570073e-05
gaussian,1.8000000000000000e+00,1.0000000000000001e-09,1.3674928864264432e-04
gaussian,2.0000000000000000e+00,1.0000000000000000e-10,8.3563204373354272e-05
gaussian,2.0000000000000000e+00,1.0000000000000001e-09,1.3042847908622727e-04
gaussian,2.2000000000000002e+00,1.0000000000000000e-10,9.2202949665496546e-05
gaussian,2.2000000000000002e+00,1.0000000000000001e-09,1.4249659609816504e-04
gaussian,2.3999999999999999e+00,1.0000000000000000e-10,1.0468637984564319e-04
gaussian,2.3999999999999999e+00,1.0000000000000001e-09,1.5943943792739380e-04
gaussian,2.6000000000000001e+00,1.0000000000000000e-10,1.2955386402838454e-04
gaussian,2.6000000000000001e+00,1.0000000000000001e-09,1.7871325622152140e-04
gaussian,2.7999999999999998e+00,1.0000000000000000e-10,1.6170871279084999e-04
gaussian,2.7999999999999998e+00,1.0000000000000001e-09,2.1722991491288004e-04
gaussian,3.0000000000000000e+00,1.0000000000000000e-10,2.0407201315872131e-04
gaussian,3.0000000000000000e+00,1.0000000000000001e-09,2.6892318856116214e-04
