path,load_fraction,origin,E11,E22,2E12,S11_Pa,S22_Pa,S12_Pa,sigma11_Pa,sigma22_Pa,sigma12_Pa,sigma33_Pa,von_mises_Pa,energy_J_per_m3
axial_x_extension,0.0,analytic_reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
axial_x_extension,0.25,saved_FOM,0.025,0.0,0.0,33034434.528835192,15407968.99025139,-618715.3110991282,33850222.419829,15036638.061575068,-618715.3110991282,19315104.194226947,17114653.699428834,421435.84658516635
axial_x_extension,0.5,saved_FOM,0.05,0.0,0.0,62250111.75020881,29823328.589992244,-1161353.3767112526,65288468.00319972,28435428.097336102,-1161353.3767112526,36580372.58988158,33591173.419096224,1619909.6692997194
axial_x_extension,0.75,saved_FOM,0.07500000000000001,0.0,0.0,88145819.25364476,43298718.8910095,-1639135.0985913367,94525860.32235117,40376263.556512065,-1639135.0985913367,52017100.98796329,49451001.65510281,3506290.8593614167
axial_x_extension,1.0,saved_FOM,0.1,0.0,0.0,111165153.1053591,55903092.89606314,-2061595.9550436733,121775323.92864129,51032308.35580098,-2061595.9550436733,65834287.31063159,64724699.60728668,6003247.230541948
axial_y_extension,0.0,analytic_reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
axial_y_extension,0.25,saved_FOM,0.0,0.025,0.0,15381607.276990911,33088886.63520146,-544369.5691375013,15010911.663681118,33906019.22513279,-544369.5691375013,19326480.80346538,17175421.344391823,422455.69735654135
axial_y_extension,0.5,saved_FOM,0.0,0.05,0.0,29732627.4258774,62227546.410711676,-1029263.0642591324,28348947.930551574,65264801.275473155,-1029263.0642591324,36534861.226648144,33627036.40388739,1621544.9925207968
axial_y_extension,0.75,saved_FOM,0.0,0.07500000000000001,0.0,43120197.022400774,87961388.51580967,-1464403.1587799366,40209791.05565838,94328080.39005986,-1464403.1587799366,51870188.74317679,49397841.74172091,3505479.839938142
axial_y_extension,1.0,saved_FOM,0.0,0.1,0.0,55621865.76259911,110763752.29361215,-1856918.0339962526,50775584.281166375,121335611.37025191,-1856918.0339962526,65556479.85156276,64533683.75183828,5995204.3729359
axial_x_compression,0.0,analytic_reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
axial_x_compression,0.25,saved_FOM,-0.01,0.0,0.0,-14402405.54035322,-6446055.243056512,271621.22380550817,-14257654.07217545,-6511499.106097655,271621.22380550817,-8349088.158498744,7026146.524788246,71417.10642803862
axial_x_compression,0.5,saved_FOM,-0.02,0.0,0.0,-29535751.820891093,-13051486.83621612,558345.4660780142,-28939008.452264924,-13320617.972242108,558345.4660780142,-17073397.461353697,14154163.64934602,290484.7340474071
axial_x_compression,0.75,saved_FOM,-0.03,0.0,0.0,-45432965.90709121,-19811098.167270154,861081.1477170683,-44048894.738097765,-20433587.561441083,861081.1477170683,-26183465.49884816,21381839.908007104,664678.6948714836
axial_x_compression,1.0,saved_FOM,-0.04,0.0,0.0,-62123956.99516597,-26715749.565161083,1180745.0400194195,-59587206.26206814,-27853094.333375566,1180745.0400194195,-35686954.72114231,28705489.068247203,1201790.5520875508
axial_y_compression,0.0,analytic_reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
axial_y_compression,0.25,saved_FOM,0.0,-0.01,0.0,-6451465.257264414,-14476909.12586051,237388.94733497984,-6516964.04571583,-14331408.858924335,237388.94733497984,-8380966.6804011855,7081169.986472696,71759.47476529576
