Total batches: 225
Batch info (theta, phi, strain):
Batch 1: theta=0.00, phi=0.00, strain=[0.01, 0.0, 0.0]
Batch 2: theta=0.00, phi=25.00, strain=[0.0090630778703665, 0.0, 0.0]
Batch 3: theta=0.00, phi=50.00, strain=[0.006427876096865394, 0.0, 0.0]
Batch 4: theta=0.00, phi=75.00, strain=[0.0025881904510252074, 0.0, 0.0]
Batch 5: theta=0.00, phi=100.00, strain=[-0.001736481776669303, -0.0, 0.0]
Batch 6: theta=0.00, phi=125.00, strain=[-0.005735764363510461, -0.0, 0.0]
Batch 7: theta=0.00, phi=150.00, strain=[-0.008660254037844387, -0.0, 0.0]
Batch 8: theta=0.00, phi=175.00, strain=[-0.009961946980917456, -0.0, 0.0]
Batch 9: theta=0.00, phi=200.00, strain=[-0.009396926207859084, -0.0, -0.0]
Batch 10: theta=0.00, phi=225.00, strain=[-0.007071067811865477, -0.0, -0.0]
Batch 11: theta=0.00, phi=250.00, strain=[-0.0034202014332566856, -0.0, -0.0]
Batch 12: theta=0.00, phi=275.00, strain=[0.0008715574274765789, 0.0, -0.0]
Batch 13: theta=0.00, phi=300.00, strain=[0.005000000000000001, 0.0, -0.0]
Batch 14: theta=0.00, phi=325.00, strain=[0.008191520442889916, 0.0, -0.0]
Batch 15: theta=0.00, phi=350.00, strain=[0.00984807753012208, 0.0, -0.0]
Batch 16: theta=25.00, phi=0.00, strain=[0.01, 0.004226182617406995, 0.0]
Batch 17: theta=25.00, phi=25.00, strain=[0.0090630778703665, 0.0038302222155948903, 0.0017860619515673035]
Batch 18: theta=25.00, phi=50.00, strain=[0.006427876096865394, 0.0027165378227418445, 0.003237443709670646]
Batch 19: theta=25.00, phi=75.00, strain=[0.0025881904510252074, 0.0010938165494661502, 0.004082178936767348]
Batch 20: theta=25.00, phi=100.00, strain=[-0.001736481776669303, -0.0007338689100003823, 0.004161977407267834]
Batch 21: theta=25.00, phi=125.00, strain=[-0.005735764363510461, -0.002424038765061041, 0.003461886130587541]
Batch 22: theta=25.00, phi=150.00, strain=[-0.008660254037844387, -0.0036599815077066685, 0.002113091308703497]
Batch 23: theta=25.00, phi=175.00, strain=[-0.009961946980917456, -0.004210100716628344, 0.0003683360850073488]
Batch 24: theta=25.00, phi=200.00, strain=[-0.009396926207859084, -0.003971312619671028, -0.0014454395845259899]
Batch 25: theta=25.00, phi=225.00, strain=[-0.007071067811865477, -0.002988362387301199, -0.0029883623873011985]
Batch 26: theta=25.00, phi=250.00, strain=[-0.0034202014332566856, -0.0014454395845259894, -0.003971312619671028]
Batch 27: theta=25.00, phi=275.00, strain=[0.0008715574274765789, 0.0003683360850073475, -0.004210100716628344]
Batch 28: theta=25.00, phi=300.00, strain=[0.005000000000000001, 0.0021130913087034978, -0.003659981507706668]
Batch 29: theta=25.00, phi=325.00, strain=[0.008191520442889916, 0.0034618861305875403, -0.002424038765061042]
Batch 30: theta=25.00, phi=350.00, strain=[0.00984807753012208, 0.004161977407267834, -0.0007338689100003827]
Batch 31: theta=50.00, phi=0.00, strain=[0.01, 0.007660444431189781, 0.0]
Batch 32: theta=50.00, phi=25.00, strain=[0.0090630778703665, 0.006942720440148839, 0.003237443709670646]
Batch 33: theta=50.00, phi=50.00, strain=[0.006427876096865394, 0.004924038765061041, 0.005868240888334652]
Batch 34: theta=50.00, phi=75.00, strain=[0.0025881904510252074, 0.0019826689127414613, 0.00739942111693848]
Batch 35: theta=50.00, phi=100.00, strain=[-0.001736481776669303, -0.0013302222155948899, 0.007544065067354889]
Batch 36: theta=50.00, phi=125.00, strain=[-0.005735764363510461, -0.004393850417707051, 0.006275068715971331]
Batch 37: theta=50.00, phi=150.00, strain=[-0.008660254037844387, -0.006634139481689384, 0.0038302222155948895]
Batch 38: theta=50.00, phi=175.00, strain=[-0.009961946980917456, -0.007631294127377697, 0.0006676517241775074]
Batch 39: theta=50.00, phi=200.00, strain=[-0.009396926207859084, -0.0071984631039295425, -0.0026200263022938494]
Batch 40: theta=50.00, phi=225.00, strain=[-0.007071067811865477, -0.00541675220419702, -0.005416752204197018]
Batch 41: theta=50.00, phi=250.00, strain=[-0.0034202014332566856, -0.002620026302293848, -0.0071984631039295425]
Batch 42: theta=50.00, phi=275.00, strain=[0.0008715574274765789, 0.000667651724177505, -0.007631294127377697]
Batch 43: theta=50.00, phi=300.00, strain=[0.005000000000000001, 0.003830222215594891, -0.006634139481689384]
Batch 44: theta=50.00, phi=325.00, strain=[0.008191520442889916, 0.006275068715971329, -0.004393850417707053]
